img_name,label,category,image_path
36(2).jpg,36,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\36(2).jpg
36(3).jpg,36,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\36(3).jpg
37.jpg,37,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\37.jpg
38.jpg,38,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\38.jpg
39.jpg,39,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\39.jpg
40.jpg,40,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\40.jpg
40(1).jpg,40,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\40(1).jpg
40(2).jpg,40,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\40(2).jpg
40(3).jpg,40,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\40(3).jpg
41.jpg,41,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\41.jpg
42.jpg,42,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\42.jpg
42(3).jpg,42,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\42(3).jpg
43.jpg,43,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\43.jpg
43(2).jpg,43,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\43(2).jpg
44.jpg,44,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\44.jpg
44(1).jpg,44,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\44(1).jpg
44(2).jpg,44,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\44(2).jpg
44(3).jpg,44,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\44(3).jpg
45.jpg,45,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\45.jpg
45(1).jpg,45,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\45(1).jpg
45(2).jpg,45,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\45(2).jpg
45(3).jpg,45,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\45(3).jpg
45(4).jpg,45,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\45(4).jpg
46.jpg,46,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\46.jpg
46(1).jpg,46,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\46(1).jpg
46(3).jpg,46,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\46(3).jpg
47.jpg,47,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\47.jpg
47(1).jpg,47,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\47(1).jpg
47(2).jpg,47,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\47(2).jpg
47(3).jpg,47,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\47(3).jpg
47(4).jpg,47,Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\47(4).jpg
48.jpg,48,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\48.jpg
48(1).jpg,48,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\48(1).jpg
48(2).jpg,48,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\48(2).jpg
48(3).jpg,48,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\48(3).jpg
49.jpg,49,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\49.jpg
49(1).jpg,49,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\49(1).jpg
49(2).jpg,49,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\49(2).jpg
50.jpg,50,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\50.jpg
50(1).jpg,50,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\50(1).jpg
50(2).jpg,50,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\50(2).jpg
51.jpg,51,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\51.jpg
51(1).jpg,51,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\51(1).jpg
52.jpg,52,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\52.jpg
52(1).jpg,52,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\52(1).jpg
53.jpg,53,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\53.jpg
53(1).jpg,53,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\53(1).jpg
53(2).jpg,53,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\53(2).jpg
53(3).jpg,53,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\53(3).jpg
54.jpg,54,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\54.jpg
55(2).jpg,55,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\55(2).jpg
56.jpg,56,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\56.jpg
57.jpg,57,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\57.jpg
57(1).jpg,57,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\57(1).jpg
57(2).jpg,57,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\57(2).jpg
58.jpg,58,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\58.jpg
58(1).jpg,58,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\58(1).jpg
59.jpg,59,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\59.jpg
59(1).jpg,59,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\59(1).jpg
59(2).jpg,59,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\59(2).jpg
60.jpg,60,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\60.jpg
60(1).jpg,60,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\60(1).jpg
60(2).jpg,60,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\60(2).jpg
61.jpg,61,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\61.jpg
61(1).jpg,61,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\61(1).jpg
61(2).jpg,61,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\61(2).jpg
62.jpg,62,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\62.jpg
63.jpg,63,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\63.jpg
63(1).jpg,63,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\63(1).jpg
63(2).jpg,63,Severe Cyclonic Storm,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\63(2).jpg
64.jpg,64,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\64.jpg
64(1).jpg,64,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\64(1).jpg
64(2).jpg,64,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\64(2).jpg
65.jpg,65,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\65.jpg
65(2).jpg,65,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\65(2).jpg
65(3).jpg,65,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\65(3).jpg
67.jpg,67,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\67.jpg
67(1).jpg,67,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\67(1).jpg
68.jpg,68,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\68.jpg
69.jpg,69,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\69.jpg
69(1).jpg,69,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\69(1).jpg
70.jpg,70,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\70.jpg
73.jpg,73,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\73.jpg
74.jpg,74,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\74.jpg
74(1).jpg,74,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\74(1).jpg
74(2).jpg,74,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\74(2).jpg
75.jpg,75,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\75.jpg
77.jpg,77,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\77.jpg
77(1).jpg,77,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\77(1).jpg
81.jpg,81,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\81.jpg
82.jpg,82,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\82.jpg
82(1).jpg,82,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\82(1).jpg
83(1).jpg,83,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\83(1).jpg
84.jpg,84,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\84.jpg
85.jpg,85,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\85.jpg
85(1).jpg,85,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\85(1).jpg
85(2).jpg,85,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\85(2).jpg
86.jpg,86,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\86.jpg
86(1).jpg,86,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\86(1).jpg
86(2).jpg,86,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\86(2).jpg
87.jpg,87,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\87.jpg
94.jpg,94,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\94.jpg
98.jpg,98,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\98.jpg
99.jpg,99,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\99.jpg
101.jpg,101,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\101.jpg
102.jpg,102,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\102.jpg
106.jpg,106,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\106.jpg
111.jpg,111,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\111.jpg
112.jpg,112,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\112.jpg
115.jpg,115,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\115.jpg
118.jpg,118,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\118.jpg
119.jpg,119,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\119.jpg
128.jpg,128,Very Severe+,data\raw\insat3d_raw_cyclone_ds\CYCLONE_DATASET_FINAL\128.jpg
